FID,ano,mes,dia,hora,min,seg,lat,lon,erro_km,prof,mag,tipo_mag,tipo_dado,intensidad,UF,descricao,the_geom
IAG-BoletimSismicoBrasileiro.0,1720,11,23,0,0,0,-13,-38.5,0,0,0,-1,C,0,BA,SALVADOR,POINT (-13 -38.5)
IAG-BoletimSismicoBrasileiro.1,1724,1,4,10,30,0,-13,-38.5,0,0,2.8,4,C,3-4,BA,SALVADOR,POINT (-13 -38.5)
IAG-BoletimSismicoBrasileiro.2,1744,9,24,15,0,0,-15.3,-58,0,0,2.8,4,C,3-4,MT,CUIABA EFEITO DE SISMO ANDINO ?,POINT (-15.3 -58)
IAG-BoletimSismicoBrasileiro.3,1767,8,1,23,0,0,-20.31,-40.33,0,0,3.5,4,C,5,ES,VITORIA EPI.NO ALTO VIT-TRINDADE?,POINT (-20.31 -40.33)
IAG-BoletimSismicoBrasileiro.4,1789,5,9,0,0,0,-25.01,-47.94,0,0,3.7,4,C,5-6,SP,CANANEIA (SANTOS 1850),POINT (-25.01 -47.94)
IAG-BoletimSismicoBrasileiro.5,1808,8,8,11,0,0,-5.7,-37.7,100,0,4.8,3,B,6,RN,ACU,POINT (-5.7 -37.7)
IAG-BoletimSismicoBrasileiro.6,1810,4,19,0,0,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.7,1811,10,28,22,30,0,-8.08,-34.87,50,0,3.8,3,C,5,PE,RECIFE AREA IV APROX.,POINT (-8.08 -34.87)
IAG-BoletimSismicoBrasileiro.8,1811,0,0,23,0,0,-30.04,-51.3,0,0,3.5,4,C,5,RS,PORTO ALEGRE EPIC. DUVIDOSO,POINT (-30.04 -51.3)
IAG-BoletimSismicoBrasileiro.9,1815,6,0,0,0,0,-12.76,-38.49,0,0,0,-1,C,0,BA,CABOTO,POINT (-12.76 -38.49)
IAG-BoletimSismicoBrasileiro.10,1824,0,0,0,0,0,-7.59,-39.28,0,0,0,-1,C,0,CE,JARDIM FRATURA DE 30 KM ?,POINT (-7.59 -39.28)
IAG-BoletimSismicoBrasileiro.11,1824,0,0,0,0,0,-21.98,-44.88,0,0,3.2,4,C,4-5,MG,CAXAMBU,POINT (-21.98 -44.88)
IAG-BoletimSismicoBrasileiro.12,1826,0,0,0,0,0,-11.71,-47.77,0,0,2.6,4,C,3,GO,NATIVIDADE,POINT (-11.71 -47.77)
IAG-BoletimSismicoBrasileiro.13,1832,9,18,17,0,0,-12.4,-64.4,0,0,0,-1,C,0,RO,PR.DA BEIRA,POINT (-12.4 -64.4)
IAG-BoletimSismicoBrasileiro.15,1834,0,0,0,0,0,-11.71,-47.77,0,0,2.6,4,C,3,GO,NATIVIDADE,POINT (-11.71 -47.77)
IAG-BoletimSismicoBrasileiro.16,1839,7,16,2,0,0,-21.84,-45.39,0,0,3,4,C,4,MG,CAMPANHA,POINT (-21.84 -45.39)
IAG-BoletimSismicoBrasileiro.17,1840,0,0,0,0,0,-21.03,-44.75,0,0,3,4,C,4,MG,BOM SUCESSO VARIOS EVENTOS,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.18,1845,4,20,2,0,0,-25.52,-48.51,0,0,0,-1,C,0,PR,PARANAGUA A. VIEIRA DOS SANTOS 1850,POINT (-25.52 -48.51)
IAG-BoletimSismicoBrasileiro.19,1846,0,0,0,0,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.20,1852,12,2,16,30,0,-4.56,-37.76,0,0,0,-1,C,0,CE,ARACATI,POINT (-4.56 -37.76)
IAG-BoletimSismicoBrasileiro.21,1852,0,0,0,0,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.22,1854,1,10,10,0,0,-5.2,-35.46,50,0,3.7,4,C,5-6,RN,TOUROS,POINT (-5.2 -35.46)
IAG-BoletimSismicoBrasileiro.23,1855,7,25,9,0,0,-19.95,-43.48,0,0,3.5,4,C,5,MG,S.J.M.GRANDE ATUAL B. DE COCAIS,POINT (-19.95 -43.48)
IAG-BoletimSismicoBrasileiro.24,1855,0,0,0,0,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.25,1860,7,12,0,0,0,-0.86,-48.13,0,0,0,-1,C,0,PA,VIGIA,POINT (-0.86 -48.13)
IAG-BoletimSismicoBrasileiro.26,1860,10,1,0,0,0,-15.6,-56.1,0,0,0,-1,C,0,MT,CUIABA,POINT (-15.6 -56.1)
IAG-BoletimSismicoBrasileiro.27,1861,7,30,6,0,0,-22.2,-44.95,0,0,0,-1,C,0,MG,POUSO ALTO,POINT (-22.2 -44.95)
IAG-BoletimSismicoBrasileiro.28,1861,7,31,4,0,0,-22.6,-45.2,50,0,4.4,3,B,5,SP,LORENA,POINT (-22.6 -45.2)
IAG-BoletimSismicoBrasileiro.29,1863,4,9,2,45,0,-21.93,-45.25,20,0,3.6,3,B,4,MG,CAMPANHA,POINT (-21.93 -45.25)
IAG-BoletimSismicoBrasileiro.30,1864,11,23,14,30,0,-2.53,-44.3,0,0,3.2,4,C,4-5,MA,SAO LUIS,POINT (-2.53 -44.3)
IAG-BoletimSismicoBrasileiro.31,1864,12,27,5,0,0,-2.53,-44.3,0,0,0,-1,C,0,MA,SAO LUIS,POINT (-2.53 -44.3)
IAG-BoletimSismicoBrasileiro.32,1867,8,0,0,0,0,-20.01,-47.4,0,0,0,-1,C,0,MG,JAGUARA VARIOS EVENTOS,POINT (-20.01 -47.4)
IAG-BoletimSismicoBrasileiro.33,1867,0,0,0,0,0,-30.1,-51.2,0,0,0,-1,C,0,RS,PORTO ALEGRE,POINT (-30.1 -51.2)
IAG-BoletimSismicoBrasileiro.34,1871,4,5,4,30,0,-3.4,-44.35,0,0,3.7,4,C,5-6,MA,ITAPICURU-M.,POINT (-3.4 -44.35)
IAG-BoletimSismicoBrasileiro.35,1871,6,14,0,0,0,-2.53,-44.3,0,0,0,-1,C,0,MA,SAO LUIS,POINT (-2.53 -44.3)
IAG-BoletimSismicoBrasileiro.36,1872,11,12,2,0,0,-18.6,-43.39,0,0,0,-1,C,0,MG,SERRO ENCHENTE E DESABAMENTO,POINT (-18.6 -43.39)
IAG-BoletimSismicoBrasileiro.37,1874,10,30,12,30,0,-23.5,-47.5,10,0,3.6,3,B,5,SP,SOROCABA,POINT (-23.5 -47.5)
IAG-BoletimSismicoBrasileiro.38,1876,6,27,21,30,0,-16.57,-57.82,0,0,3,4,C,4,MT,CAMBARA,POINT (-16.57 -57.82)
IAG-BoletimSismicoBrasileiro.39,1879,3,1,0,0,0,-15.6,-56.1,0,0,3.5,4,C,5,MT,CUIABA,POINT (-15.6 -56.1)
IAG-BoletimSismicoBrasileiro.40,1879,7,24,20,25,0,-6,-35.5,50,0,4.3,3,B,5,RN,NATAL. Sentido forte em Areia. PB,POINT (-6 -35.5)
IAG-BoletimSismicoBrasileiro.41,1882,10,21,0,0,0,-21.79,-46.58,0,0,3,4,C,4,MG,P. DE CALDAS,POINT (-21.79 -46.58)
IAG-BoletimSismicoBrasileiro.42,1883,2,21,0,0,0,-21.86,-42.67,0,0,2.6,4,C,3,MG,A. PARAIBA,POINT (-21.86 -42.67)
