YEAR,MO,DD,HH,MM,SS,LAT,LON,ERR,DEPTH,MAG,C_MAG,T_MAG,CAT,INTENSITY,AREA,UF,LOCALITY_COMMENTS,,
1720,11,23,,,,-13,-38.5,0,0,0,-1,,C,,,BA,SALVADOR,,
1724,1,4,10,30,,-13,-38.5,0,0,2.8,4,mI,C,3.5,,BA,SALVADOR,,
1744,9,24,15,,,-15.3,-58,0,0,2.8,4,mI,C,3.5,,MT,CUIABA EFEITO DE SISMO ANDINO ?,,
1767,8,1,23,,,-20.31,-40.33,0,0,3.5,4,mI,C,5,,ES,VITORIA EPI.NO ALTO VIT-TRINDADE?,,
1789,5,9,,,,-25.01,-47.94,0,0,3.7,4,mI,C,5.5,,SP,CANANEIA (SANTOS 1850),,
1808,8,8,11,,,-5.7,-37.7,100,0,4.8,3,mA,B,6,230,RN,ACU,,
1810,4,19,,,,-3.1,-40.84,0,0,0,-1,,C,,,CE,GRANJA,,
1811,,,23,,,-30.04,-51.3,0,0,3.5,4,mI,C,5,,RS,PORTO ALEGRE EPIC. DUVIDOSO,,
1811,10,28,22,30,,-8.08,-34.87,50,0,3.8,3,mA,C,5,0.6,PE,RECIFE AREA IV APROX.,,
1815,6,,,,,-12.76,-38.49,0,0,0,-1,,C,,,BA,CABOTO,,
1824,,,,,,-7.59,-39.28,0,0,0,-1,,C,,,CE,JARDIM FRATURA DE 30 KM ?,,
1824,,,,,,-21.98,-44.88,0,0,3.2,4,mI,C,4.5,,MG,CAXAMBU,,
1826,,,,,,-11.71,-47.77,0,0,2.6,4,mI,C,3,,GO,NATIVIDADE,,
1832,,,,,,-20.82,-45.72,0,0,3.5,4,mI,C,5,,MG,Guapé (Passos Maia: Guapé; UnB/Furnas),,
1832,9,18,17,,,-12.4,-64.4,0,0,0,-1,,C,,,RO,PR.DA BEIRA,,
1834,,,,,,-11.71,-47.77,0,0,2.6,4,mI,C,3,,GO,NATIVIDADE,,
1839,7,16,2,,,-21.84,-45.39,0,0,3,4,mI,C,4,,MG,CAMPANHA,,
1840,,,,,,-21.03,-44.75,0,0,3,4,mI,C,4,,MG,BOM SUCESSO VARIOS EVENTOS,,
1845,4,20,2,,,-25.52,-48.51,0,0,0,-1,,C,,,PR,PARANAGUA A. VIEIRA DOS SANTOS 1850,,
1846,,,,,,-3.1,-40.84,0,0,0,-1,,C,,,CE,GRANJA,,
1852,,,,,,-3.1,-40.84,0,0,0,-1,,C,,,CE,GRANJA,,
1852,12,2,16,30,,-4.56,-37.76,0,0,0,-1,,C,,,CE,ARACATI,,
1854,1,10,10,,,-5.2,-35.46,50,0,3.7,4,mI,C,5.5,,RN,TOUROS,,
1855,,,,,,-3.1,-40.84,0,0,0,-1,,C,,,CE,GRANJA,,
1855,7,25,9,,,-19.95,-43.48,0,0,3.5,4,mI,C,5,,MG,S.J.M.GRANDE ATUAL B. DE COCAIS,,
1860,7,12,,,,-0.86,-48.13,0,0,0,-1,,C,,,PA,VIGIA,,
1860,10,1,,,,-15.6,-56.1,0,0,0,-1,,C,,,MT,CUIABA,,
1861,7,30,6,,,-22.2,-44.95,0,0,0,-1,,C,,,MG,POUSO ALTO,,
1861,7,31,4,,,-22.6,-45.2,50,0,4.4,3,mA,B,5,52,SP,LORENA,,
1863,4,9,2,45,,-21.93,-45.25,20,0,3.6,3,mA,B,4,1.5,MG,CAMPANHA,,
1864,11,23,14,30,,-2.53,-44.3,0,0,3.2,4,mI,C,4.5,,MA,SAO LUIS,,
1864,12,27,5,,,-2.53,-44.3,0,0,0,-1,,C,,,MA,SAO LUIS,,
1867,,,,,,-30.1,-51.2,0,0,0,-1,,C,,,RS,PORTO ALEGRE,,
1867,8,,,,,-20.01,-47.4,0,0,0,-1,,C,,,MG,JAGUARA VARIOS EVENTOS,,
1871,4,5,4,30,,-3.4,-44.35,0,0,3.7,4,mI,C,5.5,,MA,ITAPICURU-M.,,
1871,6,14,,,,-2.53,-44.3,0,0,0,-1,,C,,,MA,SAO LUIS,,
